sentence	sentence_id	locale	reason
Iti multumesc si tie.	00846ea1507fb996cf27215ea4154b1896895f090d1b8c8048e189abdd5f9d1c	ro	grammar-or-spelling
Iti va fi luat si el.	580cabd02fb9f12078b162283a2c2660c622c9edaa5ab59e32b8d256889af104	ro	grammar-or-spelling
A fi liber înseamnă, înainte de toate, a fi responsabil faţă de tineînsuţi.	6527f747796ed4c86cc28c92c2e35fe2837445c9818bbde1fdc3f9aee93a9cec	ro	grammar-or-spelling
Iti promit ca ti se va face dreptate.	fddb6086e64aa5c81b8bdbca78162e3fa3a1dfafd200b737104fcb4e235c6c36	ro	grammar-or-spelling
Iti voi da mai multe monede de aur.	5150c5ae355302123b89c4c04383a28d22e06f4af694aca1e36698ab6a1802df	ro	grammar-or-spelling
Iti pot da trei exemple ca sa iti dovedesc ca el are calitatile mele.	cae7f427cc63bea74da476b5e522053742088df435850f108aeb9933b24cd455	ro	grammar-or-spelling
Iti place de cineva?	9494bf935c511c638e21ba88ed89b132d587d1c500073c2b053ba96a77267260	ro	grammar-or-spelling
Apoi mai este problema persoanelor care returnate.	668b8fc5aaed90d7e23d31831632bc0cee626e13dd376c17fca96156178e2030	ro	grammar-or-spelling
Iti voi gasi cel mai urat mire pentru tine.	9ab4a3735e6d7067a7cc4a84f83047603062ee0f2c6cded562efc5a57aadffaa	ro	grammar-or-spelling
Iti pot intelege, ingrijorarea.	1c39c7574ba6305a35b3253ce633b04f5af46a535d82df979cea4e72b3fe8919	ro	grammar-or-spelling
Jagat, nu m-am asteptat ca tu sa vi.	2e00412edafce7d797b3b7844e7ba041fedb78454b1e5851c77d73fa8e84dba0	ro	grammar-or-spelling
Iti va fi putin mai dificil la inceput.	ab90e83a824ef5880b273ddd8d2b2da95384bb5c8159e890069ced1765e845c2	ro	grammar-or-spelling
Iti spun, planurile tale vor fi zadarnice.	78305268954d259a34ef77ce2c753f6b1338881a715667f5e5e1501108db8a16	ro	grammar-or-spelling
Meritați sa fiți felicitat pentru acest lucru.	6a910dc98899fc5890166267db253f79405d8474b79b7bf810f0b74ad1464556	ro	grammar-or-spelling
Iti voi aduce de mancare.	6e3979c36dff0f90efab171b47ca57bf05a7e73c54c049aae806ef82b9c224e7	ro	grammar-or-spelling
Apoi mai este problema persoanelor care returnate.	668b8fc5aaed90d7e23d31831632bc0cee626e13dd376c17fca96156178e2030	ro	grammar-or-spelling
Iti voi arata eu cum.	9d3446b9d77e21cfe312c3a73153eb622dc21bb63562c77857e98fda26acd361	ro	grammar-or-spelling
Iti ordon sa te dai din calea mea.	2c9d8525e0b98990f8ab36750552b5a5a333d94a3f149b83a257b7c44ca54a06	ro	grammar-or-spelling
Jagat, nu m-am asteptat ca tu sa vi.	2e00412edafce7d797b3b7844e7ba041fedb78454b1e5851c77d73fa8e84dba0	ro	grammar-or-spelling
Iti promit ca nu iti voi.	27721f59038b61c9bfe3be623a2efa9e520e7e0124ecf70c6ff99efd0fb4895b	ro	grammar-or-spelling
Iti place si tie de el?	8c6ae4d2b2a5abf9f6c6766bedef3e01cf18c77875f6e89b65f9344b1ae43131	ro	grammar-or-spelling
Iti multumesc ca.	626c37e1108ee030ba6ce520fa81ccbb1d73af6ec98308a9148fc201afcd04d4	ro	grammar-or-spelling
Iti inteleg sentimentele.	45e2cba1833bfa15e9b1d83c206c214f4ff8dff92f94fbc927dc32a66ddcd17b	ro	grammar-or-spelling
Mânca pula matale	51c35b6a6da3e34439cd8e5f9cc8aacce03a8c86b675df124fb0fcea9b9ec684	ro	offensive-language
Iti poruncesc sa bei niste apa.	85c34d95586b18fb11e401bbd9f9a49be3205496414f82d96af3ed25ba653783	ro	grammar-or-spelling
Iti promit ca vei primi dreptate.	c0481bef8b0c8c2198941f9f7a384ccea3abfe6cd5b68c1834daaf90d40d8603	ro	grammar-or-spelling
Iti pasa de copil?	bc63d2fb45461cb44a7072b2e731fc09c0482a30dad212dca8af29d9efeef2c8	ro	grammar-or-spelling
Iti multumesc foarte mult.	7a370e48fbc0f9ff3988d3488f6cc48efbbcd26bfd13b0b2c6c2625b00723bf8	ro	grammar-or-spelling
Fii apropiat de rudeşi prieteni, dar nu face afaceri cu ei.	6c059a64fc1b7d48e9fa35d4fab9bef405f966aa824e788fd93885a86685b3e4	ro	grammar-or-spelling
Iti respect sentimentele.	847ada22252e420508c58d0d971bbe39a0f6b294f97b3981132c7b73633fce29	ro	grammar-or-spelling
Iti voi desena frumos pe maini.	2e87ba2de0617f4cc852c537819e6116e73f4c21f67ed6478d3564d6a31b6993	ro	grammar-or-spelling
Există deschidere - o ofertă mai cuprinzătoare.	74d7fd020f168a7089827e1ecc5fa8c91a2e0c101e53241d0e55a6e990c86b97	ro	grammar-or-spelling
Dreptatea eca sănătatea lumii.	62f5c5ffe00158534a6561aad0c02504991b2ef1825b160ce0376e1c2f4dda32	ro	grammar-or-spelling
Iti place sa porti coroana?	b8b4965c494504ef950058c4582f4b508c7e8e61971b5240d86eb1b564ab38c9	ro	grammar-or-spelling
Iti promit, matusa.	d7403aa5863fed77c78b7b245bf41b434defcb0810af19aa9cd781716ac24bc1	ro	grammar-or-spelling
Prostia şi răutatea seînsoţesc totdeauna.	74e846747059770c1735a6db9692dd9d81dd43790b08b0f5fdac976ac8725fa6	ro	grammar-or-spelling
Iti va fi luat si el.	580cabd02fb9f12078b162283a2c2660c622c9edaa5ab59e32b8d256889af104	ro	grammar-or-spelling
Iti place de el?	1a9b18d7df1b74738d69bddc79ab559e90412cdff9f2fa4c0884fe1abf84a5f6	ro	grammar-or-spelling
Iti respect sentimentele.	847ada22252e420508c58d0d971bbe39a0f6b294f97b3981132c7b73633fce29	ro	grammar-or-spelling
Iti promit ca aluatul.	5bf3a706af7334170bf448bef142aa8832c1e117fad4f91eac0eedbac2cfedac	ro	grammar-or-spelling
Iti poruncesc sa bei niste apa.	85c34d95586b18fb11e401bbd9f9a49be3205496414f82d96af3ed25ba653783	ro	grammar-or-spelling
După ceştii totul, vine îndoiala.	63bdb6fe96b2de79fdb9a53233bab9ffe3d6ab102dac26b40909816fd12abb89	ro	grammar-or-spelling
Iti promit ca ti se va face dreptate.	fddb6086e64aa5c81b8bdbca78162e3fa3a1dfafd200b737104fcb4e235c6c36	ro	grammar-or-spelling
Iti mai amintesti?	e6d434e786cc678606706d5dfacd911300d7a56c8324630ebd41e5eecccba035	ro	grammar-or-spelling
Iti multumesc si tie.	00846ea1507fb996cf27215ea4154b1896895f090d1b8c8048e189abdd5f9d1c	ro	grammar-or-spelling
Iti voi face aceasta favoare.	f5cd6c22789be198dcad64c207236143791d58d23e27a3a60d21da1f34e9724d	ro	grammar-or-spelling
Poporul sirian nu va îngenunchea în fața tancurilor.	70ecabc0146304c5217841959d65089aa1b4bbcb6a8f6ab4e87fce4fcb4414c6	ro	grammar-or-spelling
Iti ordon sa te pui sa dormi.	5aeaa2a16397db650bd0ffda7a6b1f140907b02f23e7e7de0584e09548dffd34	ro	grammar-or-spelling
We now continue with the vote.	609803d8a2936a4676a71c3f7ae31490a34695a1373024f74330382c18280f29	ro	different-language
Iti multumesc ca t.	aebe8fc6e84aadc562c8ad5d3e4804ef99037e6d1560ebb7fd29a4f7b9d27ea0	ro	grammar-or-spelling
Acesta este statul-guvernantă care a luat-o razna.	7042506566195f9c3616b9c6bac5beef863806048997451a3c9e70839e82b491	ro	grammar-or-spelling
Fii apropiat de rudeşi prieteni, dar nu face afaceri cu ei.	6c059a64fc1b7d48e9fa35d4fab9bef405f966aa824e788fd93885a86685b3e4	ro	grammar-or-spelling
Iti voi aduce calul.	bcf9efa0b3e91cf3a6fcbafc5fe3423847c50b8d397dd38b9ff10db7c7fb5235	ro	grammar-or-spelling
Preoţii şi ritualurile sunt doar cârje pentru viaţa infirmăa sufletului.	6af8c23108c348f67cf6b35e8b1cd1d5b3448283efd72f1829c05bdf8473dba1	ro	grammar-or-spelling
De aceea trebuie să vigilenţi şi în alertă.	6dae1b4e9ad4c7a2d6666ebb3ae811d2f35ef7538c95794bbaee2ee945cbe4d4	ro	grammar-or-spelling
Ce fel de guvern deschide urnele de vot?	63c90f7f82f21cdb350e91cf7b1ac25101243c1561fa917dcaa66de6f35817db	ro	grammar-or-spelling
Aș dori să se corecteze acest aspect.	765c182c5bd9156fbce7ef3c7e9bf596809eee9becbc1c067a4898877f622048	ro	grammar-or-spelling
Iti promit regina Jodha, ca nu voi.	237879a040ecbaec5c9ae584f10fc9add47628589d0a9c470f9cff4f248928ca	ro	grammar-or-spelling
Iti voi desena frumos pe maini.	2e87ba2de0617f4cc852c537819e6116e73f4c21f67ed6478d3564d6a31b6993	ro	grammar-or-spelling
Prima clădire a ansambului arhitectural datează de la începutul secolului optsprezece.	55275f26e9ee68e20690f81e67aff3728acfdc302e028d077c4ba44d64b350d8	ro	grammar-or-spelling
Iti place sa porti coroana?	b8b4965c494504ef950058c4582f4b508c7e8e61971b5240d86eb1b564ab38c9	ro	grammar-or-spelling
După ceştii totul, vine îndoiala.	63bdb6fe96b2de79fdb9a53233bab9ffe3d6ab102dac26b40909816fd12abb89	ro	grammar-or-spelling
Míle buíochas do mhuintir na hÉireann.	6ad51bdf9437629adb6865ee6ae3f3f9d43c092d3c1475ae505ea8f35992c0d5	ro	different-language
Vrei să trăieşti cum secuvine? Învaţămai întâi să mori.	72891ba56fea431417480e8bb97ab3744d848d96ec2a0622850b6f167e2cd73e	ro	grammar-or-spelling
Iti promit, regina Jodha.	0ef7a930cef3ff6577a996b4036ffbb19cb9f8ff8b43e91e5583cedcc20390fd	ro	grammar-or-spelling
Iti promit ca vei primi dreptate.	c0481bef8b0c8c2198941f9f7a384ccea3abfe6cd5b68c1834daaf90d40d8603	ro	grammar-or-spelling
Jagat, nu m-am asteptat ca tu sa vi.	2e00412edafce7d797b3b7844e7ba041fedb78454b1e5851c77d73fa8e84dba0	ro	grammar-or-spelling
Ciò conclude il turno di votazioni.	7369f060fff4945cff7fe4028d1b3252fc7bdec2d9a647e0561a407918e2c8e6	ro	different-language
Iti pot tolera toate prostiile tale.	57293472fd77a17cf6af5ca279a9123c3860586803ef51f631b12949cbf8e1df	ro	grammar-or-spelling
Iti voi arata eu cum.	9d3446b9d77e21cfe312c3a73153eb622dc21bb63562c77857e98fda26acd361	ro	grammar-or-spelling
Iti va da copilul inapoi.	abcb044171428e84321351fa911d2b267fb7d38821e685450c9956253b377de7	ro	grammar-or-spelling
Iti multumesc mult.	4fa22faf6370164be375bea6498b76424f1d49b16102c5d23469356f7fe47dbf	ro	grammar-or-spelling
Dreptatea eca sănătatea lumii.	62f5c5ffe00158534a6561aad0c02504991b2ef1825b160ce0376e1c2f4dda32	ro	grammar-or-spelling
Iti ordon sa te duci sa il.	1b44bb331fd0a90f3cda284144351ed64fa1234e6832bec55425adc8ef2d09b1	ro	grammar-or-spelling
Iti promit ca tu vinovatul va fi pedepsit.	2b52a4609f3979f6bd29aad4281d9f7f4400329749eac500a01771e85c7d920c	ro	grammar-or-spelling
Prostia şi răutatea seînsoţesc totdeauna.	74e846747059770c1735a6db9692dd9d81dd43790b08b0f5fdac976ac8725fa6	ro	grammar-or-spelling
Iti promit, matusa.	d7403aa5863fed77c78b7b245bf41b434defcb0810af19aa9cd781716ac24bc1	ro	grammar-or-spelling
Iti voi inapoia respectul pe care l-ai pierdut.	ff93bd9e017b6736738297beddf78ab9606b9d8ef237fd2acfc7ffa3fd1aaeff	ro	grammar-or-spelling
Ca să poţi înţelege pe alţii, mai întâi trebuie săte cunoşti pe tine.	73ed1539b995f70bb870a5443c33522854646bcee9fb6b2379c7f8da6772c297	ro	grammar-or-spelling
Ce de-al doilea domeniu este securitatea.	747eab7b9f929cd069b5e64edacf342cd40975d77e49e26ce8b9756a33e94bd0	ro	grammar-or-spelling
Iti multumesc ca t.	aebe8fc6e84aadc562c8ad5d3e4804ef99037e6d1560ebb7fd29a4f7b9d27ea0	ro	grammar-or-spelling
Iti voi face un masaj.	0ed19cbd0222c23254b2ffa09c5c371665ab110a16804f3688be6e369ad34a01	ro	grammar-or-spelling
Iti voi aduce calul.	bcf9efa0b3e91cf3a6fcbafc5fe3423847c50b8d397dd38b9ff10db7c7fb5235	ro	grammar-or-spelling
Iti place de el?	1a9b18d7df1b74738d69bddc79ab559e90412cdff9f2fa4c0884fe1abf84a5f6	ro	grammar-or-spelling
Iti promit, ca nu voi cruta.	274ce465b1820e5c8d3c023c3465c42e70d5de384ad5574c7c44b00f5ba5a991	ro	grammar-or-spelling
Iti mai amintesti?	e6d434e786cc678606706d5dfacd911300d7a56c8324630ebd41e5eecccba035	ro	grammar-or-spelling
Iti voi ingriji ranile.	cac793331da4a678f1acd040e54ac1705daff3c961ad1db89b611c2d038d7f5c	ro	grammar-or-spelling
Cele două au urcat în premieră pe un podium la ce me.	780d917d363fe4a857d8252e893a0b47281901ad06a5e8b50802ad66da4bb343	ro	grammar-or-spelling
Iti voi explica.	788aca31bd11f1bfd251952fc8c5b4bf7b89b669afba496d3506cb28e94b0519	ro	grammar-or-spelling
Nu supăra pecine nu ştie să sesupere.	79925145f8a4209c9a5121a05e1446654482b66579c7fb72848be35493f79cd0	ro	grammar-or-spelling
De aceea trebuie să vigilenţi şi în alertă.	6dae1b4e9ad4c7a2d6666ebb3ae811d2f35ef7538c95794bbaee2ee945cbe4d4	ro	grammar-or-spelling
Iti promit ca nu-i voi spune.	31d6e622fe737c776289754fa7db2e94111782d58e9d3f933efa809b128dd5d2	ro	grammar-or-spelling
Îţi vine mai lesne să tearăţi înţelept pentru alţii decât pentru tine însuţi.	6a9b59e177bdb572cbf39c5e16969fa7c00f266339386ef48490ec2eafdc4643	ro	grammar-or-spelling
Iti promit asta.	1f814c298c04ec1957e1ffe56ae94b85f1470b3730c03ebd2d9623c0c290283a	ro	grammar-or-spelling
Iti voi gasi cel mai urat mire pentru tine.	9ab4a3735e6d7067a7cc4a84f83047603062ee0f2c6cded562efc5a57aadffaa	ro	grammar-or-spelling
Iti pot da trei exemple ca sa iti dovedesc ca el are calitatile mele.	cae7f427cc63bea74da476b5e522053742088df435850f108aeb9933b24cd455	ro	grammar-or-spelling
Iti respect decizia.	aea63a63f120ed3a715a3d0c35ffe33e039ce0972c5e685dc750c40cecfebadd	ro	grammar-or-spelling
Combaterea acestor cauze trebuie ă aibă prioritate.	51853e82158a2ac012562d4690cbe4966ece62ea3fd8827ad352c82f808ecbe7	ro	grammar-or-spelling
Iti voi fi recunoscatoare mereu.	8158048c29ef39d6d9e806d8ef84f717b45f3a86209f0a3807527071e3c1b1ab	ro	grammar-or-spelling
Se pare că un ol important în declanșarea migrenelor îl are neuro-transmițătorul serotonină.	7c82c60cbf00af35710002366225247a5a5baf7cb1d8b07895c9785913398a3c	ro	grammar-or-spelling
Cele două au urcat în premieră pe un podium la ce me.	780d917d363fe4a857d8252e893a0b47281901ad06a5e8b50802ad66da4bb343	ro	grammar-or-spelling
Aceste rapoarte au nevoie de o adevărat revizuire.	788125f7f84d364aee830acc1c282429009fc65db4c87533f6354819189ab5d8	ro	grammar-or-spelling
Iti ordon sa te duci sa il.	1b44bb331fd0a90f3cda284144351ed64fa1234e6832bec55425adc8ef2d09b1	ro	grammar-or-spelling
Aproape integral partidele politice de guvernământ.	7cf6972709120e3d2fd4a9eb97e05a478959752629a0ada9ef5d5d9e183dd59c	ro	grammar-or-spelling
Ciò conclude il turno di votazioni.	7369f060fff4945cff7fe4028d1b3252fc7bdec2d9a647e0561a407918e2c8e6	ro	different-language
Iti multumesc foarte mult.	7a370e48fbc0f9ff3988d3488f6cc48efbbcd26bfd13b0b2c6c2625b00723bf8	ro	grammar-or-spelling
Iti promit, ca nu voi cruta.	274ce465b1820e5c8d3c023c3465c42e70d5de384ad5574c7c44b00f5ba5a991	ro	grammar-or-spelling
Se pare că un ol important în declanșarea migrenelor îl are neuro-transmițătorul serotonină.	7c82c60cbf00af35710002366225247a5a5baf7cb1d8b07895c9785913398a3c	ro	grammar-or-spelling
Prostia şi răutatea seînsoţesc totdeauna.	74e846747059770c1735a6db9692dd9d81dd43790b08b0f5fdac976ac8725fa6	ro	grammar-or-spelling
Ajungem acum la momentul procedurii "catch-the-eye”.	87e7d9f6e8fe5a24c6424bb6f45a6121f9495379d61708d7edec0864a244aa3d	ro	different-language
Veți găsi toate aceste informații în e-mail.	836e0fca611787c8b16818e78ee5d3ef1f9be76fa8ddbe0be5f94bf78005a3d0	ro	offensive-language
Veți găsi toate aceste informații în e-mail.	836e0fca611787c8b16818e78ee5d3ef1f9be76fa8ddbe0be5f94bf78005a3d0	ro	grammar-or-spelling
Veți găsi toate aceste informații în e-mail.	836e0fca611787c8b16818e78ee5d3ef1f9be76fa8ddbe0be5f94bf78005a3d0	ro	different-language
Veți găsi toate aceste informații în e-mail.	836e0fca611787c8b16818e78ee5d3ef1f9be76fa8ddbe0be5f94bf78005a3d0	ro	difficult-pronunciation
Trebuie să mergem, nu să fugim.	7e06a5adf7c93bea3f57c19212aa71c657b43df33d9cb81196ccac2314b76ff9	ro	different-language
Iti voi ingriji ranile.	cac793331da4a678f1acd040e54ac1705daff3c961ad1db89b611c2d038d7f5c	ro	grammar-or-spelling
Míle buíochas do mhuintir na hÉireann.	6ad51bdf9437629adb6865ee6ae3f3f9d43c092d3c1475ae505ea8f35992c0d5	ro	different-language
Accesarea fondurilor însă nu este scop în sine.	8f24a04be48e81052a339ac8cc0ea6f89bc3bf5ba3edb093c7b7432cc5a6c747	ro	difficult-pronunciation
Iti multumesc ca t.	aebe8fc6e84aadc562c8ad5d3e4804ef99037e6d1560ebb7fd29a4f7b9d27ea0	ro	grammar-or-spelling
Se pare că un ol important în declanșarea migrenelor îl are neuro-transmițătorul serotonină.	7c82c60cbf00af35710002366225247a5a5baf7cb1d8b07895c9785913398a3c	ro	grammar-or-spelling
Iti inteleg ingrijorarea.	91f82514edb138ef691c31ad1fd07a83a22c0b210cd81bb81e5776168258e5e1	ro	grammar-or-spelling
Iti voi gasi cel mai urat mire pentru tine.	9ab4a3735e6d7067a7cc4a84f83047603062ee0f2c6cded562efc5a57aadffaa	ro	grammar-or-spelling
Ar trebui să aplicăm aceleaşi principii.	844d96da624c3b78284071fd3c48852fe1fb9e26df4edd8563fc67d6dfea53aa	ro	hybu8308@gmail.com
Se cierra el turno de votaciones.	98be014590ad01a1fb1958d076c9db4773cb463709926d229f283f79a628564d	ro	different-language
Míle buíochas do mhuintir na hÉireann.	6ad51bdf9437629adb6865ee6ae3f3f9d43c092d3c1475ae505ea8f35992c0d5	ro	different-language
Se cierra el turno de votaciones.	98be014590ad01a1fb1958d076c9db4773cb463709926d229f283f79a628564d	ro	different-language
O multime de oameni s-au rigat pt copii mei.	778a774939b5f757761a3d63e06535cc3d85983ddbc3c8bdd8e991af7266e9fb	ro	grammar-or-spelling
Jagat, nu m-am asteptat ca tu sa vi.	2e00412edafce7d797b3b7844e7ba041fedb78454b1e5851c77d73fa8e84dba0	ro	grammar-or-spelling
Nu stia despre omul caruia i-a.	4b356b5a31004ccf83eba556ee5d11e094262741c592d5b7ffc4b34b79843cb5	ro	grammar-or-spelling
Nu ti-a spus regine Jodha ca Javeda este insarcinata?	8ffd99df9480dd44d7d48e807e5acc0433674fc1ce387f3521b3ff6f8f372879	ro	grammar-or-spelling
Se pare că un ol important în declanșarea migrenelor îl are neuro-transmițătorul serotonină.	7c82c60cbf00af35710002366225247a5a5baf7cb1d8b07895c9785913398a3c	ro	grammar-or-spelling
Iti promit ca nu iti voi.	27721f59038b61c9bfe3be623a2efa9e520e7e0124ecf70c6ff99efd0fb4895b	ro	grammar-or-spelling
Cea de-a doua întrebară sună cam aşa.	9f749bfc13137681341c3b20281a48e45c783fc4d3b409c521e1d8ad08c67d1e	ro	grammar-or-spelling
Nu pot sa-ti spun ce fericita.	1acae89c831857bf71c50b51839362c1838214a4d498de584ad685614321ba66	ro	grammar-or-spelling
Iti multumesc ca.	626c37e1108ee030ba6ce520fa81ccbb1d73af6ec98308a9148fc201afcd04d4	ro	grammar-or-spelling
Iti promit regina Jodha, ca nu voi.	237879a040ecbaec5c9ae584f10fc9add47628589d0a9c470f9cff4f248928ca	ro	grammar-or-spelling
Nu pot sa inteleg cand ma-m.	e72226077debe1e29699aaca561f4d5ad0296c00e4666257ccb096dbb1031da3	ro	grammar-or-spelling
Nu t-il dau inapoi.	f557a5214f1fe7d337b15210b395cffc0613a38ff08dd7d2cefc2cb6c841b28a	ro	grammar-or-spelling
Nu te voi lasa sa m-il iei.	807375f1af245d2c5f85d984adc569ed34e739f0f4277125804a4ad811a1dae0	ro	grammar-or-spelling
Acesta este cea mai grea încercare.	a4ec5c1385d27b2bf8f80e306ea067024b1805beff47cc68b0beb0cca7b73cf3	ro	grammar-or-spelling
Mânca pula matale	51c35b6a6da3e34439cd8e5f9cc8aacce03a8c86b675df124fb0fcea9b9ec684	ro	offensive-language
Apoi mai este problema persoanelor care returnate.	668b8fc5aaed90d7e23d31831632bc0cee626e13dd376c17fca96156178e2030	ro	grammar-or-spelling
Iti ordon sa te duci sa il.	1b44bb331fd0a90f3cda284144351ed64fa1234e6832bec55425adc8ef2d09b1	ro	grammar-or-spelling
Iti promit, nu am sa las sa se intimple nimic cu fiul tau.	4613a36c162eb2bcc5027ba37bf8da72b02e2a5351f8bc4439088d05e6fe8383	ro	grammar-or-spelling
Nu pot participa la targ pt.	51b9b3bbd96f554f9c9b1c40dee77edc6f45081698da8bc36ecf7b8822d1b3d0	ro	grammar-or-spelling
Îndeplinirea datoriei, în momente critice este unmerit deosebit.	a2fe7acb602312b72b8c352e37a9708f066103319b73dce0bfd38e0cd05a4507	ro	grammar-or-spelling
Este importat să avem aici formulări mai specifice.	a8dcd90d6d1eb9b0d16da1a48845476e9c3b099c851973655fcecee39dff1cc4	ro	grammar-or-spelling
Aceasta este comunitatea noastă de valori?	9dbe801e6503505e902752baf9819295dd4518b49d409e993c54b6516433c1f2	ro	grammar-or-spelling
Míle buíochas do mhuintir na hÉireann.	6ad51bdf9437629adb6865ee6ae3f3f9d43c092d3c1475ae505ea8f35992c0d5	ro	different-language
Iti promit ca oamenii mei.	8f83038ab021e1f37880963f46dbb117c37b221b19825e7d1e9f0628175707dd	ro	grammar-or-spelling
Iti multumesc ca t.	aebe8fc6e84aadc562c8ad5d3e4804ef99037e6d1560ebb7fd29a4f7b9d27ea0	ro	grammar-or-spelling
Acest lucru trebui interzis și pedepsit cu hotărâre.	8ae975a4b5a08b193eea1806a4891a9203221b1386d3a866661cdc359abcf14b	ro	grammar-or-spelling
Iti promit ca aluatul.	5bf3a706af7334170bf448bef142aa8832c1e117fad4f91eac0eedbac2cfedac	ro	grammar-or-spelling
Nu stiu daca regina Ruqaia, i-a dat lui.	1b1b365958625e6d2b5caf7eb8a93a47b6ad0de2f1d21cbfcd9cae7a38ad6623	ro	grammar-or-spelling
Haideţi să nu se mai jucăm cu cuvintele.	b1e634045ce570a6ec85d1229c3bef1f3f6c27db1d21021366842282852c5663	ro	grammar-or-spelling
Please put my vote in favour.	aea4757938876472a43dd6af7beaff943a822b7d710114dea00acbe8114011ff	ro	different-language
Nu, regina Jodha, ti-am spus ca datoria ta.	0c5b33cead06e95e7d9261934b8a858661ddfd4162514e11d219680d8e476d97	ro	grammar-or-spelling
Sector tehnologiilor înalte este un bun exemplu.	a3345b79be5208df7947f3f7abeaa0a6e9b8b12f4697a2ee10352393cd88896a	ro	grammar-or-spelling
Curajul esteşi el o patrie.	aec02fd4bacc2794194cde3e885245531774ec3576b6cb5eb47f3d235a02a703	ro	grammar-or-spelling
De unde v-ați adunat obiectele pentru colecție.	9f9ab62650bfc74595454034d44121fb0ff3b3e37276359b7ef875008b13461e	ro	grammar-or-spelling
Ciò conclude il turno di votazioni.	7369f060fff4945cff7fe4028d1b3252fc7bdec2d9a647e0561a407918e2c8e6	ro	different-language
Obstacolele fac săse nască reflectarea.	b796f5d3241dae943260060e7138efe1bbe3f0dfc9ced25cab05bf16bec783f3	ro	grammar-or-spelling
Oameni s-ar fi pus intrebari de familia regala.	86a581b302349bbce6a83ebd407e0f25690b413f43542f53f59d3b2936a3d35b	ro	grammar-or-spelling
Consiliul nu a demostat deloc flexibilitate.	ad75daac5e215e5acd0887a9668294d6ffadbef93040449baffcea84ca4ddc16	ro	grammar-or-spelling
Acesta este o întrebare foarte interesantă.	bafc5a3a9630a714e163bff025244547a2b0fdb0a59c2cbefd079cc4868de144	ro	grammar-or-spelling
Normele de acces al cetăţenilor la mobilitate?	c07e17f2ffe2df2fb3a193ede9b49dbdf72b397e5ed0c48f5fbf64d4ab15c5b6	ro	grammar-or-spelling
Potrivit organizatorilor, bugetul festivalului se ridică la două sute mii de euro.	b8df072db0500c1a491405d42484e7e3cce0fbc7df010b19059ae1e026094079	ro	grammar-or-spelling
Nu poate fi o coincidenta ca asta s-a.	7cd6d1957fe90f60014d030693470bdb09b49ebeba31cd413e45ad13d47b691d	ro	grammar-or-spelling
Nu o intalni ca un Imparat care intalneste un criminal.	138aa7256d555edc6a444046a57ec079c6dec0f7e6888b7d5cca4bb9901c9321	ro	grammar-or-spelling
O multime de oameni s-au rigat pt copii mei.	778a774939b5f757761a3d63e06535cc3d85983ddbc3c8bdd8e991af7266e9fb	ro	grammar-or-spelling
Declarația făcută de dvs. este inacceptabilă.	c082fb670968ae495b1fc5a6795b8438decf32d59645a7d738ae4389ba427c2e	ro	Prescurtare (dvs.)
Nu te voi lasa sa m-il iei.	807375f1af245d2c5f85d984adc569ed34e739f0f4277125804a4ad811a1dae0	ro	grammar-or-spelling
Mânca pula matale	51c35b6a6da3e34439cd8e5f9cc8aacce03a8c86b675df124fb0fcea9b9ec684	ro	offensive-language
Care este părerea dvs. în această privință?	c3ca6aa8d42f5b6d50cca623d9c65ab2dc287a68ae570f443f12057a20e27043	ro	Prescurtare (dvs.)
Este importat să avem aici formulări mai specifice.	a8dcd90d6d1eb9b0d16da1a48845476e9c3b099c851973655fcecee39dff1cc4	ro	grammar-or-spelling
Acesta este cea mai grea încercare.	a4ec5c1385d27b2bf8f80e306ea067024b1805beff47cc68b0beb0cca7b73cf3	ro	grammar-or-spelling
Nu, regina Jodha, ti-am spus ca datoria ta.	0c5b33cead06e95e7d9261934b8a858661ddfd4162514e11d219680d8e476d97	ro	Diacitice, sens
Iti place sa porti coroana?	b8b4965c494504ef950058c4582f4b508c7e8e61971b5240d86eb1b564ab38c9	ro	Diactritice
Acest lucru trebui interzis și pedepsit cu hotărâre.	8ae975a4b5a08b193eea1806a4891a9203221b1386d3a866661cdc359abcf14b	ro	grammar-or-spelling
Iti place de cineva?	9494bf935c511c638e21ba88ed89b132d587d1c500073c2b053ba96a77267260	ro	grammar-or-spelling
Nu pot sa-i dau ce isi doreste.	3817e41f42f1011fd91b8e4119b7c48c6c79f211133de10cb23a1cc1854295ac	ro	grammar-or-spelling
Nu numai ca l-ati lovit.	79378b5a78ab49f6e9e451b77a6154bab15e7ded2fb214e6af7cfa89e4c98638	ro	grammar-or-spelling
Nu stiu ce s-a intamplat cu el.	663e7c389b33ac2645b3cf9a57648079f9fb302b06cfc29760c12ffd36b8de0d	ro	grammar-or-spelling
Dle președinte, aș dori să spun trei lucruri.	c277ae34f6480e36c58f96446a9eeefc18f31005e350fbd360c421f623fded3e	ro	Prescurtare (Dle)
Nu pot sa-ti spun despre asta.	a30426101e8dae07555623b006b19267099b3d2bd75c6619ac416e2a45d948b4	ro	grammar-or-spelling
Please put my vote in favour.	aea4757938876472a43dd6af7beaff943a822b7d710114dea00acbe8114011ff	ro	different-language
Mânca pula matale	51c35b6a6da3e34439cd8e5f9cc8aacce03a8c86b675df124fb0fcea9b9ec684	ro	offensive-language
